1,1,0.0055248618784530384,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
13,1,0.0718232044198895,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
13,2,0.0718232044198895,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 star hotel])
14,1,0.07734806629834254,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
14,2,0.07734806629834254,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
15,1,0.08287292817679558,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
15,2,0.08287292817679558,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 star hotel])
16,1,0.08839779005524862,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
16,2,0.08839779005524862,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
17,1,0.09392265193370165,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
17,2,0.09392265193370165,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 star hotel])
18,1,0.09944751381215469,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
18,2,0.09944751381215469,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
19,1,0.10497237569060773,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
19,2,0.10497237569060773,Agent33@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
20,1,0.11049723756906077,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
20,2,0.11049723756906077,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 star hotel])
21,1,0.11602209944751381,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
21,2,0.11602209944751381,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 star hotel])
22,1,0.12154696132596685,ConcederNegotiationParty@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
22,2,0.12154696132596685,Agent33@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
23,1,0.1270718232044199,ConcederNegotiationParty@0,(Accept  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
agreement,Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel],1.0,0.5331290074670093
