1,1,0.01639344262295082,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
6,2,0.09836065573770492,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
7,1,0.11475409836065574,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
7,2,0.11475409836065574,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: Band, Cleanup: Water and Soap])
8,1,0.13114754098360656,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
8,2,0.13114754098360656,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Finger-Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
9,1,0.14754098360655737,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
9,2,0.14754098360655737,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
10,1,0.16393442622950818,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
10,2,0.16393442622950818,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
11,1,0.18032786885245902,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
11,2,0.18032786885245902,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Specialized Materials])
12,1,0.19672131147540983,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
12,2,0.19672131147540983,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
13,1,0.21311475409836064,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
13,2,0.21311475409836064,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
14,1,0.22950819672131148,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
14,2,0.22950819672131148,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
15,1,0.2459016393442623,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
15,2,0.2459016393442623,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Specialized Materials])
16,1,0.26229508196721313,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
16,2,0.26229508196721313,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Specialized Materials])
17,1,0.2786885245901639,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
17,2,0.2786885245901639,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
18,1,0.29508196721311475,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
18,2,0.29508196721311475,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: Band, Cleanup: Water and Soap])
19,1,0.3114754098360656,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
19,2,0.3114754098360656,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
20,1,0.32786885245901637,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
20,2,0.32786885245901637,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
21,1,0.3442622950819672,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
21,2,0.3442622950819672,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Specialized Materials])
22,1,0.36065573770491804,BoaPartyExample@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
22,2,0.36065573770491804,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
23,1,0.3770491803278688,BoaPartyExample@0,(Accept  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
agreement,Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap],0.9291666666666667,0.6497308213786102
