6,1,0.03314917127071823,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
6,2,0.03314917127071823,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
7,1,0.03867403314917127,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
7,2,0.03867403314917127,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
8,1,0.04419889502762431,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
8,2,0.04419889502762431,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
9,1,0.049723756906077346,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
9,2,0.049723756906077346,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
10,1,0.055248618784530384,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
10,2,0.055248618784530384,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
11,1,0.06077348066298342,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
11,2,0.06077348066298342,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
12,1,0.06629834254143646,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
12,2,0.06629834254143646,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
13,1,0.0718232044198895,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
13,2,0.0718232044198895,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
14,1,0.07734806629834254,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
14,2,0.07734806629834254,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
15,1,0.08287292817679558,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
15,2,0.08287292817679558,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
16,1,0.08839779005524862,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Water and Soap])
16,2,0.08839779005524862,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
17,1,0.09392265193370165,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Water and Soap])
17,2,0.09392265193370165,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
18,1,0.09944751381215469,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Water and Soap])
18,2,0.09944751381215469,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
19,1,0.10497237569060773,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Water and Soap])
19,2,0.10497237569060773,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
20,1,0.11049723756906077,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: MP3, Cleanup: Water and Soap])
20,2,0.11049723756906077,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
21,1,0.11602209944751381,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
21,2,0.11602209944751381,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
22,1,0.12154696132596685,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
22,2,0.12154696132596685,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
23,1,0.1270718232044199,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
23,2,0.1270718232044199,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
24,1,0.13259668508287292,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
24,2,0.13259668508287292,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
25,1,0.13812154696132597,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
25,2,0.13812154696132597,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
26,1,0.143646408839779,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
26,2,0.143646408839779,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
27,1,0.14917127071823205,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
27,2,0.14917127071823205,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
28,1,0.15469613259668508,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Water and Soap])
28,2,0.15469613259668508,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
29,1,0.16022099447513813,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
29,2,0.16022099447513813,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
30,1,0.16574585635359115,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
30,2,0.16574585635359115,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
31,1,0.1712707182320442,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
31,2,0.1712707182320442,KLH@3,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: MP3, Cleanup: Water and Soap])
32,1,0.17679558011049723,boa-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_BS_min_k_e_max-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_AS_Uncertainty-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OM_l-C..Users.zyx.IdeaProjects.MAS3.1BOATest.out.production.MAS3.1BOATest.mas2023.group4.Group4_OMS_t@2,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Water and Soap])
